Time,Close,,,,
Feb 21,"1,274.06","1,076.50","1,340.20","1,076.50",18.77%
Jan 21,"1,072.68","1,068.00","1,115.75","1,065.50",0.63%
Dec 20,"1,065.95",962.5,"1,086.00","1,061.14",10.47%
Nov 20,964.89,842,981.75,953.5,13.65%
Oct 20,849,888,863.69,844.05,-4.43%
Sep 20,888.32,929.65,907.76,867.61,-4.44%
Aug 20,929.59,908.5,943.63,927.54,2.49%
Jul 20,907,818.5,921,897.27,10.07%
Jun 20,824,834.43,834.88,805.45,-2.28%
May 20,843.25,772.75,849.75,818.5,8.54%
Apr 20,776.89,722,794.67,757.8,7.01%
Mar 20,726,865,742.75,717.37,-16.23%
Feb 20,866.62,960.53,"1,020.14",847.03,-9.87%
Jan 20,961.5,965.5,"1,046.05",947.5,-0.36%
Dec 19,965,892.5,986.6,882.44,6.98%
Nov 19,902.02,934.26,957.75,863,-3.32%
Oct 19,933,879.5,940,866.5,5.48%
Sep 19,884.5,934,999.65,873,-5.22%
Aug 19,933.25,864,942.05,830,7.95%
Jul 19,864.5,835.5,889.44,804.5,3.47%
Jun 19,835.5,795,842.26,788.5,5.23%
May 19,794,890.17,890.76,786.92,-10.64%
Apr 19,888.5,847,917.24,841,4.78%
Mar 19,848,868,877.65,806,-2.58%
Feb 19,870.5,819.5,876.5,775,5.90%
Jan 19,822,797.4,833.6,780.5,3.33%
Dec 18,795.5,805.15,818.05,777.25,-0.32%
Nov 18,798.05,833.35,877.85,792.85,-4.82%
Oct 18,838.5,817,852.6,806.5,2.88%
Sep 18,815,785.02,841.42,764.82,3.49%
Aug 18,787.5,840,846.4,756.25,-6.19%
Jul 18,839.5,854.49,863,793,-1.52%
Jun 18,852.5,907,917.8,842.3,-5.96%
May 18,906.5,906.5,934.1,878.5,0.11%
Apr 18,905.5,929,956,900.6,-2.82%
Mar 18,931.75,986.65,987.86,926.25,-5.27%
Feb 18,983.6,"1,001.90","1,014.20",953.6,-1.86%
Jan 18,"1,002.20",930.7,"1,029.80",927.7,7.97%
Dec 17,928.25,945.25,948.75,872.55,-1.45%
Nov 17,941.95,915.65,957.35,911.45,2.50%
Oct 17,919,915.75,951.25,903.25,0.66%
Sep 17,913,995.75,"1,026.45",910.75,-8.47%
Aug 17,997.5,941,"1,008.80",935.5,6.06%
